"username";"review";"reply";"final_reply"
"Paula Matteucci";"App demora horrores para abrir!!!!";"Olá, Paula! Sentimos muito pela experiência negativa que teve com a abertura do app. Recomendamos verificar se o aplicativo está atualizado e limpar os dados/cache para tentar solucionar o problema. Se precisar de mais ajuda, estamos à disposição!";"Olá, Paula! Estamos aqui para ajudar com o acesso. Por gentileza, verifique se o app está atualizado e vá nas configurações do seu celular - aplicativos - app do CB - limpar dados/cache. Se a situação continuar da mesma forma, acesse o menu Conta - Chama no Zap ou ligue para (11) 4003-4336, tudo bem? Conte conosco!"
"Lucineia Alvez novaes da silva";"muito bom pelo aplicativo na loja física foi roubado na compra de uma máquina de lavar em 250,000Reais ,foi lá p resolver por diversas vezes sem êxito na loja da ocean que deixar registrado q minha indignação";"Oi, Lucineia! Agradecemos pelo seu feedback e sentimos muito pela situação na loja física. Infelizmente, não conseguimos intervir em compras fora do app. Se precisar de suporte conosco, estaremos disponíveis para ajudar no que estiver ao nosso alcance.";"Olá, Lucineia. Lamentamos por essa situação. Vamos te ajudar com isso, ok? Basta nos contatar através das redes sociais: @casasbahia. Por lá ofereceremos todo o suporte necessário com seu produto. Conte sempre conosco!"
"Felipe Gonçalves";"Demora muito pra entrar, pra carregar as coisas,trava muito lento precisa melhorar";"Olá, Felipe! Agradecemos pelo seu feedback. Gostaríamos de entender melhor o que está acontecendo para melhorar a sua experiência. Se puder, entre em contato conosco pelo Zap ou ligue para (11) 4003-4336.";"Olá, Felipe! Agradecemos pelo contato. Sua situação já foi resolvida? Caso não, por favor, converse com a gente sobre essa situação acessando o menu Conta - Chama no Zap. Se preferir, ligue para o telefone (11) 4003-4336, ok? Estamos te esperando!"
"Lucilia Mendes";"Gostaria de saber se um link que estão enviando pra nós procede das casas Bahia sobre a venda de celulares!!?? Por favor entrem em contato comigo pq estou com essa dúvida, eu efetuei um pagamento referente A compra de um celular";"Olá, Lucilia! Agradecemos por compartilhar sua dúvida conosco. Para verificar a autenticidade do link enviado, recomendamos acessar o site oficial das Casas Bahia ou entrar em contato pelos canais oficiais. Estamos aqui para auxiliá-la, se precisar!";"Olá, Lucilia. Vamos te ajudar com isso! Por gentileza, para que possamos entender melhor essa situação, pedimos que você nos contate acessando dentro do app o menu Conta - Chama no Zap. Se preferir, ligue para o telefone (11) 4003-4336, ok? Estamos te esperando por lá!"
"Francielly Silva";"Ruim não liberou meu carnê kkkk";"Olá, Francielly! Agradecemos pelo seu feedback. Pode conferir se os dados cadastrados estão corretos e atualizados? Essa verificação pode ajudar a resolver a questão do carnê, tudo bem? Estamos aqui para auxiliar!";"Olá, Francielly. Sentimos muito. Para utilizar o carnê, alguns requisitos devem ser atendidos. Os produtos devem ser vendidos e entregues pelo CB, sua compra não deve conter nenhum seguro ou serviço e a modalidade da entrega deve ser normal ou agendada, tudo bem? Conte sempre com a gente!"
"Tiago ramos Viana";"Compro direto no carnê digital e pago em dias e quando eu vou comprar não libera o carnê digital. Nem sequer um cartão vocês não me envia.";"Olá, Tiago! Agradecemos pelo feedback. Para liberar o carnê digital, verifique se os dados cadastrados estão corretos. Caso persista, entre em contato conosco pelo Zap ou ligue para (11) 4003-4336. Estamos aqui para ajudar!";"Olá, Tiago. Vamos te ajudar com isso! Para utilizar o carnê, alguns requisitos devem ser atendidos. Os produtos devem ser vendidos e entregues pelo CB, sua compra não deve conter nenhum seguro ou serviço e a modalidade da entrega deve ser normal ou agendada, tudo bem? Qualquer coisa, estamos à disposição!"
"Valdsonsantosferreira Ferreira";"muito bom é para conseguir fazer um carnê digital online sem precisar ir na loja";"Olá, Valdsonsantosferreira! Agradecemos muito pelo seu comentário positivo! Ficamos felizes em saber que você achou nosso app muito bom para conseguir fazer um carnê digital online. Estamos sempre trabalhando para proporcionar mais praticidade e comodidade aos nossos usuários. Continue desfrutando de todas as facilidades que o CB oferece!";"Olá, Valdson! Agradecemos pelo seu ótimo feedback! Ficamos felizes em saber que nosso aplicativo atendeu às suas expectativas. Pensamos em cada detalhe para deixar tudo mais prático e rápido para suas compras online, viu? Qualquer dúvida, estamos à disposição!"
"Cleomarciameneghin Meneghin";"Mais preços baixo para o povo comprar mais linha branca e eletrônico";"Olá, Cleomarciameneghin! Agradecemos pelo seu feedback. Ficamos felizes em saber que você considera nosso app útil. Se puder nos contar mais detalhes sobre como podemos oferecer melhores preços, ficaremos ainda mais agradecidos!";"Olá! Agradecemos muito por seu feedback! Já estamos trabalhando em melhorias em nossos preços, tudo bem? Por enquanto fique de olho nos nossos cupons e promoções. Se precisar de nossa ajuda, é só nos chamar no menu Conta - Chama no Zap. Conte conosco!"
"Alan Sanches";"Lixo propaganda enganosa é crime vou entrar com advogado";"Olá, Alan! Sentimos muito por sua insatisfação. Gostaríamos de entender melhor o que ocorreu para melhorarmos. Poderia nos dizer o que podemos aprimorar no app para que você fique satisfeito?";"Olá, Alan! Pedimos desculpas pelo ocorrido. Por favor, entre em contato conosco pelas nossas redes sociais: @casasbahia. Nossa equipe está à disposição para oferecer todo o suporte que você precisa, certo? Conte conosco! "
"Rafael Baquesqui";"Aplicativo não atualiza informações das entregas, eles não cumprem com o prazo de entrega.";"Olá, Rafael! Agradecemos seu feedback. Para melhorar essa questão das informações de entrega, sugerimos verificar se o app está atualizado e limpar os dados/cache. Se persistir, entre em contato conosco pelo menu Conta - Chama no Zap. Estamos aqui para te ajudar!";"Olá, Rafael! Lamentamos pela situação do seu pedido. Por gentileza, para ajudarmos com a sua entrega, acesse o menu Conta - Chama no Zap. Caso a situação persistir, ligue para o telefone (11) 4003-4336, ok? Estamos te esperando!"
